col1,col2,col3,col4,col5
L905,3050400,935LIVRE,935_,
L906,3050400,936LIVRE,936_,
L907,3050400,937LIVRE,937_,
L908,3050400,938LIVRE,938_,
L909,3050400,939LIVRE,939_,
L910,3050400,940LIVRE,940_,
L911,3050400,941LIVRE,941_,
L912,3050400,942LIVRE,942_,
L913,3050400,943LIVRE,943_,
L914,3050400,944LIVRE,944_,
L915,3050400,945LIVRE,945_,
L916,3050400,946LIVRE,946_,
L917,3050400,947LIVRE,947_,
L918,3050400,948LIVRE,948_,
L919,3050400,949LIVRE,949_,
L920,3050400,950LIVRE,950_,
L921,3050400,951LIVRE,951_,
L922,3050400,952LIVRE,952_,
L923,3050400,953LIVRE,953_,
L924,3050400,954LIVRE,954_,
L925,3050400,955LIVRE,955_,
L926,3050400,956LIVRE,956_,
L927,3050400,957LIVRE,957_,
L928,3050400,958LIVRE,958_,
L929,3050400,959LIVRE,959_,
L930,3050400,960LIVRE,960_,
L931,3050400,961LIVRE,961_,
L932,3050400,962LIVRE,962_,
L933,3050400,963LIVRE,963_,
L934,3050400,964LIVRE,964_,
L935,3050400,965LIVRE,965_,
L936,3050400,966LIVRE,966_,
L937,3050400,967LIVRE,967_,
L938,3050400,968LIVRE,968_,
L939,3050400,969LIVRE,969_,
L940,3050400,970LIVRE,970_,
L941,3050400,971LIVRE,971_,
L942,3050400,972LIVRE,972_,
L943,3050400,973LIVRE,973_,
L944,3050400,974LIVRE,974_,
L945,3050400,975LIVRE,975_,
L946,3050400,976LIVRE,976_,
L947,3050400,977LIVRE,977_,
L948,3050400,978LIVRE,978_,
L949,3050400,979LIVRE,979_,
L950,3050400,980LIVRE,980_,
L951,3050400,981LIVRE,981_,
L952,3050400,982LIVRE,982_,
L953,3050400,983LIVRE,983_,
L954,3050400,984LIVRE,984_,
L955,3050400,985LIVRE,985_,
L956,3050400,986LIVRE,986_,
L957,3050400,987LIVRE,987_,
L958,3050400,988LIVRE,988_,
L959,3050400,989LIVRE,989_,
L960,3050400,990LIVRE,990_,
L961,3050400,991LIVRE,991_,
L962,3050400,992LIVRE,992_,
L963,3050400,993LIVRE,993_,
L964,3050400,994LIVRE,994_,
L965,3050400,995LIVRE,995_,
L966,3050400,996LIVRE,996_,
L967,3050400,997LIVRE,997_,
L968,3050400,998LIVRE,998_,
L969,3050400,999LIVRE,999_,
